corpCd,corpNm,no
E00001,주식회사 미림엔지니어링,1
E00002,한국종합기술,2
E00003,(주)선진엔지니어링종합건축사사무소,3
E00004,주식회사 무진이엔씨,4
E00005,(주)제일기초이엔씨,5
E00006,(주)하나기술단,6
E00008,평화지오텍(주),7
E00009,(주)삼보기술단,8
E00010,(주)에스텍컨설팅그룹,9
E00011,(주)디케이엘,10
E00012,(주)지오그린21,11
E00013,(주)토우지오,12
E00014,(주)지엠씨,13
E00015,주식회사 연웅이앤씨,14
E00016,(주)진산,15
E00017,(주)지반솔루션,16
E00018,지케이엔지니어링주식회사,17
E00020,(주)에이플러스이엔지,18
E00021,(주)율현기술단,19
E00022,(주)덕성알파이엔지,20
E00023,(주)나우지오컨설턴트,21
E00024,(주)대교컨설턴트,22
E00025,(주)동일기술공사,23
E00026,(주)단우기술단,24
E00027,(주)엘메스코리아,25
E00028,(주)건설품질시험원,26
E00029,(주)신흥종합기술,27
E00030,(주)바이텍이엔지,28
E00031,(주)세진이엔씨,29
E00032,(주)대흥종합엔지니어링건축사사무소,30
E00033,(주)세광엔지니어링,31
E00035,(주)제일엔지니어링종합건축사사무소,32
E00036,주식회사 보라엔지니어링,33
E00038,(주)에스코컨설턴트,34
E00039,(주)지오그룹이엔지,35
E00040,(주)지윤이앤씨,36
E00041,주식회사 삼일씨이씨,37
E00042,(주)경보기술단,38
E00043,(주)한국지오컨설턴트,39
E00044,(주)새길이엔시,40
E00045,(주)에이스올,41
E00046,(주)가우리안,42
E00047,씨앤유플러스 주식회사,43
E00048,테스트(평가전문기관)2,44
E00049,주식회사 화성에스엔씨,45
E00050,(주)하이콘엔지니어링,46
E00051,한국기술개발(주),47
E00052,(주)경호엔지니어링종합건축사사무소,48
E00053,(주)동아기술공사,49
E00054,(주)평화엔지니어링,50
E00055,셀파이엔씨 주식회사,51
E00056,나우이엔씨(주),52
E00057,주식회사 지호엔지니어링,53
E00058,주식회사 이에스지오,54
E00059,(주)광림엔지니어링건설,55
E00060,(주)다솔엔지니어링,56
E00061,(주)다솔컨설턴트,57
E00062,(주)피아이컴퍼니,58
E00063,(주)아남이엔지,59
E00064,주식회사 동성지오텍,60
E00065,(주)아주엔지니어링,61
E00066,케이비이티에스 주식회사,62
E00067,주식회사 케이알티씨,63
E00068,(주)신명건설기술공사,64
E00069,케이에스엠기술(주),65
E00070,주식회사 동운,66
E00071,(주)토원,67
E00072,(주)한진지오이앤씨,68
E00073,(주)이피에스엔지니어링,69
E00074,주식회사 동우이엔텍,70
E00075,(주)도담이앤씨,71
E00076,(주)고려컨설턴트,72
E00078,(주)건화,73
E00079,주식회사 더원테크,74
E00080,주식회사 씨이이엔씨,75
E00081,(주)고산엔지니어링,76
E00082,주식회사 정민지오테크,77
E00083,(주)지에이치이앤씨,78
E00084,한국건설연구소 주식회사,79
E00085,유구엔지니어링(주),80
E00086,(주)삼우씨엠건축사사무소,81
E00087,(주)케이지엠기술,82
E00088,(주)에스엠코퍼레이션,83
E00089,(주)성지엔지니어링,84
E00090,(주)기림지오테크,85
E00091,(주)서신엔지니어링,86
E00092,(주)우주엔지니어링,87
E00093,벽산엔지니어링,88
E00094,(주)마이다스아이티,89
E00095,케이지엔지니어링종합건축사사무소,90
E00096,(주)세한이엔씨,91
E00097,(주)한백엔지니어링,92
E00098,(주)윤성이엔지,93
E00099,(주)서영엔지니어링,94
E00100,동부엔지니어링(주),95
E00101,(주)태조엔지니어링,96
E00102,시지이엔씨 주식회사,97
E00103,(주)동성엔지니어링,98
E00104,(주)경원엔지니어링건축사사무소,99
E00105,주식회사 세담이앤씨,100
E00106,(주)에스알이앤씨,101
E00107,(주)인아엔지니어링,102
E00108,(주)대한,103
E00109,주식회사 시원이앤씨,104
E00110,케이앤씨컨설턴트(주),105
E00111,(주)경동엔지니어링,106
E00112,지하정보기술,107
E00113,(주)바우컨설탄트,108
E00114,(주)한승엔지니어링,109
E00115,(사)한국건설안전협회,110
E00116,(주)세츠이엔지,111
E00117,(주)브니엘컨설턴트,112
E00118,(주)세연엔지니어링,113
E00119,(주)세진이엔시,114
E00120,(주)선구엔지니어링,115
E00121,제일지오텍엔지니어링,116
E00122,(주)수경이엔씨,117
E00123,(주)대웅컨설턴트,118
E00126,(주)다산이엔지,119
E00127,(주)토우엔지니어링,120
E00129,(주)유덕엔지니어링,121
E00130,주식회사 유신,122
E00131,(주)도건이엔씨,123
E00132,(주)대영엔지니어링,124
E00133,주식회사 대양씨앤이,125
E00134,지오로직스,126
E00135,(주)천일,127
E00136,(주)건일,128
E00137,(주)신오엔지니어링,129
E00138,(주)백산엔지니어링,130
E00139,유진이엔씨(주),131
E00140,(주)신화엔지니어링종합건축사사무소,132
E00141,주식회사 동해종합기술공사,133
E00142,(주)삼영기술,134
E00143,(주)보운이피씨,135
E00144,(주)이도,136
E00145,(주)건설기술원,137
E00146,(주)우리이엔지건축사사무소,138
E00147,(주)건축사사무소 건원엔지니어링,139
E00148,대한기초엔지니어링(주),140
E00149,(주)조은이엔지,141
E00150,(주)지오알앤디,142
E00151,(주)한가람,143
E00152,한국농어촌공사,144
E00153,(주)경화엔지니어링,145
E00154,(주)오이디,146
E00155,(주)양광엔지니어링,147
E00156,(주)대웅지오텍,148
E00157,㈜다온지오이엔지,149
E00158,(주)수성엔지니어링,150
E00159,(주)신우엔지니어링,151
E00160,주식회사 진우엔지니어링코리아,152
E00161,에스큐엔지니어링(주),153
E00162,하경엔지니어링,154
E00163,(주)나노테크이엔지,155
E00164,(주)진영컨설턴트,156
E00165,(주)도화엔지니어링,157
E00166,(주)드림이앤디,158
E00167,(주)골든엔지니어링,159
E00168,주식회사 한국건설방재연구원,160
E00169,주식회사 씨엠파트너스건축사사무소,161
E00170,(주)에스티오이엔지,162
E00171,(주)백악지오이엔씨,163
E00172,(주)태광설계공사,164
E00173,극동엔지니어링(주),165
E00174,초석엔지니어링(주),166
E00175,(주)동해이엔지,167
E00176,지에스이앤씨(주),168
E00177,(주)동양지반,169
E00178,(주)원토 이엔지,170
E00179,(주)한국건설이앤지,171
E00180,(주)한국국토안전연구원,172
E00181,(주)일신이앤씨,173
E00182,(주)에이치앤드에이치엔지니어링,174
E00183,(주)인텔리지오,175
E00184,(주)동아지질,176
E00185,(주)청맥지이티,177
E00186,(주)산하이앤씨,178
E00187,(주)한도엔지니어링종합건축사사무소,179
E00188,(주)대한콘설탄트,180
E00189,(주)지오메카이엔지,181
E00190,(주)경안종합엔지니어링,182
E00191,주식회사 예담엔지니어링,183
E00192,(주)화신엔지니어링,184
E00193,서정엔지니어링(주),185
E00194,(주)대영이엔씨,186
E00195,광성지엠 주식회사,187
E00196,(주)진화기술공사,188
E00197,(주)일신엔지니어링,189
E00198,주식회사 율곡이엔씨,190
E00199,(자)한진개발공사,191
E00200,에스앤피이엔씨,192
E00201,원공엔지니어링(주),193
E00202,(주)한성개발공사,194
E00203,(주)태암엔지니어링,195
E00204,(주)케이아트엔지니어링종합건축사사무소,196
E00205,(주)나우엔지니어링,197
E00206,한국지역난방기술주식회사,198
E00208,(주)이산,199
E00210,시지엔지니어링(주),200
E00211,주식회사 이원이엔지,201
E00212,(주)이제이텍,202
E00214,아신씨엔티(주),203
E00215,(주)정인기술단,204
E00216,(주)다산컨설턴트,205
E00217,(주)한국시설안전연구원,206
E00218,주식회사 세움텍,207
E00219,(주)신성엔지니어링,208
E00220,(주)케이디이엔지,209
E00221,한국건설안전기술(주),210
E00222,(주)경기방재연구소,211
E00223,(주)에이치에스 엔지니어링,212
E00224,반석건설기술(주),213
E00225,주식회사 지오스캔,214
E00226,주식회사 진성이앤에스,215
E00227,주식회사 지하공간이엔지,216
E00228,주식회사 한미씨엔디,217
E00230,(주)오름엔지니어링,218
E00231,(주)지엠컨설턴트,219
E00232,(주)다한이앤씨,220
E00233,(주)대원기술,221
E00234,(주)이화기술단,222
E00236,(주)흙사랑엔지니어링,223
E00237,(주)지오엔지니어링,224
E00239,주식회사 지티이엔시,225
E00240,(주)탑정엔지니어링,226
E00242,(주)우리종합기술,227
E00243,주식회사 테스콤엔지니어링,228
E00244,(주)한맥이앤씨,229
E00246,주식회사 토담엔지니어링앤드컨설턴트,230
E00247,주식회사 지에스지이엔지,231
E00248,삼호엔지니어링주식회사,232
E00249,(주)태림기술,233
E10000,홍익기술단,234
E10001,(주)지오넷,235
E10002,주식회사 영진엔지니어링,236
E10003,(주)지명,237
E10004,한주이엔씨 주식회사,238
E10005,(주)대농구조안전연구소,239
E10006,(주)지오탑이엔지,240
E10007,(주)미호이엔씨,241
E10008,(주)용마엔지니어링,242
E10009,(주)기반이엔씨,243
E10010,(주)세일지오텍,244
E10011,대한이앤씨,245
E10012,(주)에스피이엔에스,246
E10013,(주)동명기술공단종합건축사사무소,247
E10044,주식회사지오테크,248
E10045,(주)케이씨아이,249
E10046,(주)세종이엔씨,250
E10047,(주)이도가컨설턴트,251
E10048,(주)대평이엔씨,252
E10049,(주)창설토목건축사사무소,253
E10051,(주)고려기초연구소,254
E10052,중앙컨설턴트(주),255
E10053,(주)에스티,256
E10054,사단법인 한국지하안전협회,257
E10055,(주)하람이앤지,258
E10056,(주)한울이엔씨,259
E10058,주식회사 송암,260
E10059,(주)진산이엔지,261
E10060,(주)알지오이엔지,262
E10062,(주)조화엔지니어링,263
E10063,주식회사 알파건설엔지니어링,264
E10064,(주)혜안지반,265
E10067,(주)삼안,266
E10068,주식회사 용두,267
E10069,(주)한맥기술,268
E10071,주식회사 인우,269
E10073,(주)쏘일테크엔지니어링,270
E10075,(주)본현,271
E10076,주식회사 청목,272
E10077,(주)지암컨설턴트,273
E10078,주은이엔지(주),274
E10080,세왕이앤씨(주),275
E10082,(주)장맥엔지니어링,276
E10083,(주)대진이엔지,277
E10084,(주)동아컨설턴트,278
E10085,(주)한국건설정보연구원,279
E10086,주식회사 세원씨앤이,280
E10087,(주)정진이앤씨,281
E10089,(주)신우하이텍,282
E10091,하나토목이엔지,283
E10092,(주)하나기술단,284
E10093,천마기술단,285
E10095,주식회사 서현,286
E10096,하나이엔씨,287
E10097,(주)알에이엔지니어링,288
E10098,(주)거원엔지니어링,289
E10099,주식회사 비엔티엔지니어링,290
E10100,(주)동우이엔텍,291
E10101,(주)에프엠쏘일테크,292
E10102,(주)케이씨티엔지니어링,293
E10103,(주)태성이엔씨,294
E10104,이연이앤디,295
E10105,(주)하이드로리튬,296
E10107,(주)로우코리아,297
E10108,(주)계림엔지니어링,298
E10109,(주)도촌이엔지,299
E10110,(주)신우엔지니어링,300
E10111,(주)동국엔지니어링,301
E10112,(주)진이엔씨,302
E10113,(주)덕인이엔씨,303
E10114,담덕엔지니어링(주),304
E10115,주식회사 티에스이앤씨,305
E10116,(주)한보엔지니어링,306
E10117,(주)이노텍코리아,307
E10118,(주)지오미래이앤씨,308
E10119,더포레,309
E10120,주식회사 지온이앤씨,310
E10121,한동건설엔지니어링 주식회사,311
E10122,주식회사 지원텍,312
E10123,주식회사 진성엔지니어링,313
E10124,(주)에이티맥스,314
E10125,(주)케이이알,315
E10126,(주)영진엔지니어링,316
E10127,(주)선우엔지니어링,317
E10128,주식회사 동양이엔지,318
E10129,주식회사 내경엔지니어링,319
E10130,(주)한국구조물안전연구원,320
E10131,(주)이필지오텍,321
E10132,(주)에이스이엔지,322
E10133,(주)아이리스테크놀로지,323
E10134,(주)태창기초,324
E10135,(주)지앤텍솔루션,325
E10136,(주)신화지반,326
E10137,주식회사 은혜이앤지,327
E10138,주식회사 이지이엔씨,328
E10139,(주)정인컨설턴트,329
E10140,디엠이엔씨(주),330
E10141,주식회사 지디컨설턴트,331
E10143,주식회사 지성이앤씨,332
E10144,(주)예담이앤씨,333
E10145,(주)동우티이씨,334
E10147,(주)지오비전,335
E10148,주식회사동양기술단,336
E10149,주식회사 제이에스이앤씨,337
E10150,(주)동서엔지니어링,338
E10151,해림기술단(주),339
E10152,(주)한국건설안전공사,340
E10153,(주)나은티에스아이,341
E10154,주식회사 한국건설환경연구원,342
E10155,(재)한국건설품질연구원,343
E10156,세명엔지니어링 주식회사,344
E10157,만승엔지니어링 주식회사,345
E10158,(주)나우컨설턴트,346
E10159,주식회사 씨오이엔지,347
E10160,주식회사 창건이앤씨,348
E10161,엘티삼보 주식회사,349
E10162,세성엔지니어링주식회사,350
E10163,주식회사 비앤케이엔지니어링,351
E10164,아진엔지니어링,352
E10165,주식회사 디에스이앤씨,353
E10166,(주)강동엔지니어링,354
E10167,(주)다솔이앤씨,355
E10168,(주)해동기술개발공사,356
E10169,(주)덕천지앤오,357
E10170,성원기술개발 주식회사,358
E10171,테스트전문기관2,359
E10172,일신지질(주),360
E10173,주식회사에스알이앤씨,361
E10174,주식회사 지반,362
E10175,보민글로벌주식회사,363
E10176,주식회사 중부구조안전기술단,364
E10178,주식회사 에이치케이이앤씨,365
E10179,(주)건주이앤씨,366
E10181,(주)SC엔지니어링,367
E10182,주식회사케이지오,368
E10183,(주)예닮엔지니어링,369
E10184,주식회사 명성엔지니어링,370
E10185,다해이엔씨(주),371
E10186,브니엘네이처주식회사,372
E10187,(주)하나엔지니어링,373
E10188,주식회사 쏠트이엔지,374
E10189,성우구조안전연구소(주),375
E10190,(주)유화엔지니어링,376
E10191,주식회사 명동엔지니어링,377
E10192,하나엔지니어링(주),378
E10194,주식회사 지인이엔씨,379
E10195,주식회사 동방이엔지,380
E10196,주식회사 정안엔지니어링,381
E10197,주식회사 지엔티,382
E10198,케이에이치건설(주),383
E10199,(주)에이스디이씨,384
E10200,스마트이앤씨 주식회사,385
E10201,주식회사 청명종합엔지니어링,386
E10202,주식회사 이람이엔씨,387
E10203,(주)경진이엔씨,388
E10204,다산시설안전원,389
E10205,(주)힐엔지니어링,390
E10206,(주)정엔지니어링,391
E10207,주식회사 에스와이텍,392
E10208,광신이엔씨 주식회사,393
E10209,주식회사 한성엔지니어링,394
